Location ID,Observed Property ID,Observed DateTime,Result Value,Result Unit,Lab: MDL,,,,,,,,,
WULM,Nitrite as N,2026-02-16 12:00:00.000+10:00,,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-10-28 12:00:00.000+10:00,0.5,mg/L,0.1
WULM,Total Kjeldahl Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULM,Total Nitrogen as N,2024-10-14 12:00:00.000+10:00,0.5,mg/L,0.1
WULW,Total Kjeldahl Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULE,Total Nitrogen as N,2024-10-14 12:00:00.000+10:00,0.4,mg/L,0.1
WULE,Total Kjeldahl Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,WULW,Total Nitrogen as N,2024-10-14 12:00:00.000+10:00,0.4,mg/L,0.1
WULE,Total Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
WULW,Total Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
WULM,Total Nitrogen as N,2026-02-16 12:00:00.000+10:00,0.5,mg/L,0.1,,,,,,,,,
WULM,Total Phosphorus as P,2026-02-16 12:00:00.000+10:00,0.03,mg/L,0.01,,,,,,,,,
WULW,Total Phosphorus as P,2026-02-16 12:00:00.000+10:00,0.04,mg/L,0.01,,,,,,,,,
WULE,Total Phosphorus as P,2026-02-16 12:00:00.000+10:00,0.02,mg/L,0.01,,,,,,,,,
WULE,Total suspended solids,2026-02-16 12:00:00.000+10:00,7,mg/L,5,,,,,,,,,
WULW,Total suspended solids,2026-02-16 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULM,Total suspended solids,2026-02-16 12:00:00.000+10:00,,mg/L,5,,,,,,,,,
WULE,Ammonia as N,2026-01-19 12:00:00.000+10:00,0.08,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-09-02 12:00:00.000+11:00,0.5,mg/L,0.1
WULW,Ammonia as N,2026-01-19 12:00:00.000+10:00,0.06,mg/L,0.01,,,,WULM,Total Nitrogen as N,2024-09-02 12:00:00.000+11:00,0.5,mg/L,0.1
WULM,Ammonia as N,2026-01-19 12:00:00.000+10:00,0.02,mg/L,0.01,,,,WULE,Total Nitrogen as N,2024-09-02 12:00:00.000+11:00,0.6,mg/L,0.1
WULW,Dissolved Reactive Phosphorus as P,2026-01-19 12:00:00.000+10:00,,mg/L,0.01,,,,WULW,Total Nitrogen as N,2024-09-02 12:00:00.000+10:00,0.5,mg/L,0.1
