Location ID,Observed Property ID,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Lab: MDL,Latitude,Longitude
FB,Aphanizomenonaceae_Biovolume,2023-01-23 15:48:00.000+10:00,,,LAB,0.028,mm3/l,,-33.7272,150.692296
FB,Chlorophyll - a,2023-01-23 15:48:00.000+10:00,,,LAB,11.3,mg/m^3,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.048,mm3/l,,-33.7272,150.692296
FB,Raphidiopsis raciborskii_Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.011,mm3/l,,-33.7272,150.692296
FB,Cyanobacteria Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.247,mm3/l,,-33.7272,150.692296
FB,Pseudanabaena_Cell count,2023-02-06 18:14:00.000+10:00,,,LAB,173,cells/ml,,-33.7272,150.692296
FB,Sphaerospermopsis aphanizomenoides_Cell count,2023-02-06 18:14:00.000+10:00,,,LAB,2720,cells/ml,,-33.7272,150.692296
FB,Cuspidothrix issatschenkoi_Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.084,mm3/l,,-33.7272,150.692296
FB,Microcystis_Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.001,mm3/l,,-33.7272,150.692296
FB,Total Cyanobacteria,2023-02-06 18:14:00.000+10:00,,,LAB,111900,cells/ml,,-33.7272,150.692296
FB,Cuspidothrix issatschenkoi_Cell count,2023-02-06 18:14:00.000+10:00,,,LAB,1561,cells/ml,,-33.7272,150.692296
FB,Coccoid Blue Green Picoplankton_Cell count,2023-02-06 18:14:00.000+10:00,,,LAB,107030,cells/ml,,-33.7272,150.692296
FB,Enterococci,2023-02-06 18:14:00.000+10:00,,,LAB,3,cfu/100ml,,-33.7272,150.692296
FB,Pseudanabaena_Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.001,mm3/l,,-33.7272,150.692296
FB,Sphaerospermopsis aphanizomenoides_Biovolume,2023-02-06 18:14:00.000+10:00,,,LAB,0.102,mm3/l,,-33.7272,150.692296
FB,Chlorophyll - a,2023-02-06 18:14:00.000+10:00,,,LAB,3.4,mg/m^3,,-33.7272,150.692296
FB,Microcystis_Cell count,2023-02-06 18:14:00.000+10:00,,,LAB,69,cells/ml,,-33.7272,150.692296
